--------------------
"Run name","me15di_bmedclab_run1_single.txt"
--------------------
"Average P@20 = ",.7022
"Average CR@20 = ",.3702
"Average F1@20 = ",.4751
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
154,"Niagara_Falls",.6,.5,.7,.5667,.6,.64,.0909,.1818,.3636,.4091,.5,.6818,.1579,.2667,.4786,.4752,.5455,.6602
155,"Golden_Gate_Bridge_in_San_Francisco",.8,.9,.95,.9667,.975,.96,.1818,.1818,.4545,.6364,.7273,.7273,.2963,.3025,.6149,.7675,.8331,.8276
156,"Neuschwanstein_Castle",.8,.9,.85,.8333,.825,.84,.08,.08,.32,.56,.68,.68,.1455,.1469,.465,.6699,.7455,.7516
157,"Christ_Church_Cathedral_Missouri",.6,.8,.65,.7,.775,.78,.12,.24,.36,.52,.64,.68,.2,.3692,.4634,.5967,.7011,.7266
158,"Mount_Rushmore_in_South_Dakota",.8,.9,.8,.7667,.775,.76,.16,.24,.36,.48,.56,.68,.2667,.3789,.4966,.5904,.6502,.7178
159,"Puerta_de_Toledo",.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0
160,"Urquhart_Castle",1.0,1.0,1.0,1.0,1.0,1.0,.0833,.25,.375,.4167,.4167,.5,.1538,.4,.5455,.5882,.5882,.6667
161,"Gare_du_Nord_Paris",1.0,1.0,1.0,.9667,.95,.92,.12,.24,.48,.48,.6,.6,.2143,.3871,.6486,.6415,.7355,.7263
162,"Newgrange_in_Ireland",.8,.8,.75,.7333,.775,.72,.1667,.2917,.375,.4167,.5,.5833,.2759,.4275,.5,.5314,.6078,.6445
163,"Windmills_at_Kinderdijk",1.0,1.0,.95,.9333,.95,.96,.16,.28,.36,.44,.48,.56,.2759,.4375,.5221,.5981,.6378,.7074
164,"Conciergerie",1.0,1.0,1.0,1.0,1.0,1.0,.16,.28,.44,.56,.68,.72,.2759,.4375,.6111,.7179,.8095,.8372
165,"Palazzo_Madama",.4,.2,.3,.4,.475,.48,.0455,.0455,.1818,.2727,.4091,.5,.0816,.0741,.2264,.3243,.4396,.4898
166,"Split_Rock_Lighthouse",.6,.8,.8,.7667,.825,.84,.08,.12,.4,.44,.64,.68,.1412,.2087,.5333,.5591,.7208,.7516
167,"The_Little_Mermaid_Denmark",1.0,.5,.75,.8,.775,.78,.2143,.2143,.5,.5714,.6429,.7857,.3529,.3,.6,.6667,.7028,.7828
168,"Great_Pyramid_of_Giza",.6,.5,.7,.7667,.7,.68,.2,.2,.6,.7333,.7333,.8,.3,.2857,.6462,.7496,.7163,.7351
169,"Pitti_Palace",.4,.7,.65,.6667,.675,.64,.0909,.2273,.3636,.4545,.5455,.5909,.1481,.3431,.4664,.5405,.6034,.6145
170,"Georgia_State_Capitol",.6,.3,.45,.4333,.45,.48,.1579,.1579,.3684,.3684,.4737,.5263,.25,.2069,.4051,.3982,.4615,.5021
171,"Dome_des_Invalides",1.0,1.0,.95,.9667,.95,.96,.16,.24,.32,.48,.56,.64,.2759,.3871,.4787,.6415,.7046,.768
172,"Reggia_di_Caserta",.6,.6,.5,.6333,.625,.54,.08,.08,.16,.28,.36,.4,.1412,.1412,.2424,.3883,.4569,.4596
173,"The_Burj_al_Arab_Hotel",.8,.8,.75,.7333,.75,.74,.16,.24,.4,.56,.64,.64,.2667,.3692,.5217,.6351,.6906,.6864
174,"Elephanta_Caves",1.0,.9,.9,.8,.775,.76,.2083,.2917,.5417,.5833,.625,.6667,.3448,.4406,.6763,.6747,.692,.7103
175,"Basilica_of_Santa_Croce",1.0,1.0,.95,.9667,.875,.86,.12,.24,.48,.6,.64,.76,.2143,.3871,.6378,.7404,.7393,.8069
176,"Aachen_Cathedral",.8,.9,.9,.9333,.95,.92,.16,.28,.36,.52,.68,.68,.2667,.4271,.5143,.6679,.7926,.782
177,"Monument_to_the_Great_Fire_of_London",.6,.8,.6,.6,.575,.52,.12,.16,.32,.48,.56,.64,.2,.2667,.4174,.5333,.5674,.5738
178,"Longmen_Grottoes",.6,.6,.55,.6,.7,.76,.08,.16,.32,.48,.6,.64,.1412,.2526,.4046,.5333,.6462,.6949
179,"Louisiana_State_Capitol",.4,.5,.35,.4333,.425,.36,.08,.2,.28,.4,.48,.48,.1333,.2857,.3111,.416,.4508,.4114
180,"The_Great_Sphinx_at_Giza",1.0,.8,.75,.8333,.875,.88,.08,.12,.2,.48,.52,.64,.1481,.2087,.3158,.6091,.6523,.7411
181,"Teatro_Real_Madrid",.4,.5,.35,.2333,.25,.28,.087,.1739,.2609,.2609,.3043,.3913,.1429,.2581,.2989,.2463,.2745,.3264
182,"Palacio_de_la_Magdalena",.4,.2,.25,.3,.25,.24,.08,.08,.16,.32,.32,.36,.1333,.1143,.1951,.3097,.2807,.288
183,"Sowjetisches_Ehrenmal",.8,.8,.7,.7,.7,.76,.12,.24,.32,.4,.52,.56,.2087,.3692,.4392,.5091,.5967,.6448
184,"Cathedral_of_Trier",.4,.6,.7,.7667,.7,.68,.08,.24,.4,.6,.68,.72,.1333,.3429,.5091,.6732,.6899,.6994
185,"Saint_Mary_of_the_Flower",.4,.5,.6,.6333,.625,.58,.08,.12,.36,.36,.4,.4,.1333,.1935,.45,.4591,.4878,.4735
186,"Skellig_Michael",1.0,.9,.95,.9333,.875,.9,.16,.32,.56,.64,.68,.8,.2759,.4721,.7046,.7593,.7653,.8471
187,"Chicago_Board_of_Trade_Building",.6,.3,.25,.3,.4,.44,.1364,.1364,.2273,.3182,.4091,.5,.2222,.1875,.2381,.3088,.4045,.4681
188,"Pont_de_Normandie_France",.4,.4,.55,.5333,.55,.54,.1053,.1053,.3158,.4211,.4737,.5789,.1667,.1667,.4012,.4706,.509,.5588
189,"Palazzo_Rosso",.4,.2,.2,.1667,.15,.16,.0833,.0833,.125,.1667,.2083,.2917,.1379,.1176,.1538,.1667,.1744,.2066
190,"Piazza_Vittorio_Veneto",.4,.3,.25,.2667,.25,.28,.125,.1875,.1875,.3125,.4375,.5,.1905,.2308,.2143,.2878,.3182,.359
191,"Sforza_Castle",1.0,1.0,1.0,1.0,1.0,1.0,.2,.24,.32,.44,.52,.56,.3333,.3871,.4848,.6111,.6842,.7179
192,"Torres_KIO",1.0,1.0,.9,.8667,.875,.86,.12,.16,.36,.4,.52,.56,.2143,.2759,.5143,.5474,.6523,.6783
193,"Torre_Picasso",.8,.9,.9,.8,.725,.76,.0833,.125,.2083,.2917,.4583,.6667,.1509,.2195,.3383,.4275,.5616,.7103
194,"The_Palace_of_Parliament_in_Bucharest",.8,.8,.85,.8667,.85,.88,.16,.24,.44,.56,.6,.64,.2667,.3692,.5798,.6804,.7034,.7411
195,"Ernest_Hemingway_House",.8,.9,.65,.6333,.675,.68,.12,.2,.28,.36,.56,.6,.2087,.3273,.3914,.4591,.6121,.6375
196,"Castel_dellOvo_Napoli",.8,.8,.75,.7,.725,.74,.12,.24,.4,.48,.52,.64,.2087,.3692,.5217,.5695,.6056,.6864
197,"Villa_Borghese_gardens",1.0,.9,.9,.9333,.925,.92,.16,.24,.44,.56,.72,.8,.2759,.3789,.591,.7,.8097,.8558
198,"Saint_Marks_Basilica",.8,.9,.95,.9333,.925,.94,.08,.2,.48,.52,.64,.68,.1455,.3273,.6378,.6679,.7565,.7891
199,"Mausoleum_of_the_First_Qin_Emperor",.8,.9,.85,.8667,.875,.9,.16,.2,.4,.44,.56,.6,.2667,.3273,.544,.5837,.6829,.72
200,"Mausoleum_of_Hadrian",.8,.8,.85,.7333,.675,.6,.1667,.2222,.5,.5,.5556,.6111,.2759,.3478,.6296,.5946,.6095,.6055
201,"Piazza_de_Ferrari",1.0,1.0,.95,.7,.625,.66,.1579,.1579,.4211,.4211,.4737,.5263,.2727,.2727,.5835,.5258,.5389,.5856
202,"George_Washington_Carver",.8,.7,.65,.6,.55,.52,.25,.25,.3125,.375,.4375,.5,.381,.3684,.4221,.4615,.4873,.5098
203,"Cathedral_of_Santiago_de_Compostela",1.0,.9,.8,.7667,.775,.74,.2353,.3529,.4118,.6471,.7647,.8235,.381,.507,.5437,.7018,.7698,.7795
204,"Saint-Jacques_Tower",.6,.6,.45,.4333,.325,.34,.1538,.2308,.3077,.3846,.3846,.5385,.2449,.3333,.3655,.4075,.3523,.4168
205,"Calakmul_Campeche_Mexico",.4,.3,.3,.3333,.375,.46,.1429,.2143,.3571,.5,.5714,.7143,.2105,.25,.3261,.4,.4528,.5596
206,"Bran_Castle_in_Transylvania",1.0,1.0,1.0,.9667,.95,.92,.1053,.3158,.5263,.6842,.6842,.6842,.1905,.48,.6897,.8013,.7955,.7848
207,"Mosteiro_da_Batalha",1.0,1.0,1.0,1.0,1.0,1.0,.1053,.1053,.2105,.4737,.5789,.6316,.1905,.1905,.3478,.6429,.7333,.7742
208,"Wartburg_Castle",1.0,.9,.95,.9,.875,.9,.25,.35,.5,.55,.65,.7,.4,.504,.6552,.6828,.7459,.7875
209,"Fujian_Tulou_Fujian_China",1.0,.7,.65,.7,.75,.72,.2222,.2778,.5,.6667,.7222,.7222,.3636,.3977,.5652,.6829,.7358,.7211
210,"Alabama_State_Capitol",.4,.5,.6,.5333,.525,.46,.0476,.1905,.4286,.4762,.5238,.5238,.0851,.2759,.5,.5031,.5244,.4898
211,"Palazzo_dAccursio",1.0,.8,.9,.8667,.8,.76,.2222,.2222,.3333,.4444,.5556,.7222,.3636,.3478,.4865,.5876,.6557,.7406
212,"Casa_Grande_Ruins",.4,.6,.5,.6,.65,.68,.1176,.2353,.3529,.4706,.5882,.6471,.1818,.338,.4138,.5275,.6176,.6631
213,"Stravinsky_Fountain",1.0,1.0,.9,.9,.875,.88,.3333,.4667,.6667,.7333,.7333,.7333,.5,.6364,.766,.8082,.7979,.8
214,"Angel_Falls_Venezuela",1.0,.8,.75,.7,.625,.62,.1176,.2353,.3529,.4118,.5294,.6471,.2105,.3636,.48,.5185,.5732,.6332
215,"Statue_of_George_IV",.2,.1,.15,.1667,.125,.12,.125,.125,.25,.375,.375,.5,.1538,.1111,.1875,.2308,.1875,.1935
216,"Palacio_Barolo",.8,.9,.9,.9,.925,.9,.1176,.2941,.4706,.5294,.7059,.7647,.2051,.4433,.618,.6667,.8007,.8269
217,"Bridge_of_Remembrance_Christchurch_New_Zealand",.4,.2,.2,.1667,.15,.14,.1667,.1667,.1667,.1667,.1667,.25,.2353,.1818,.1818,.1667,.1579,.1795
218,"John_A._Roebling_Suspension_Bridge",1.0,1.0,.95,.8,.775,.76,.2,.3333,.6667,.6667,.7333,.8,.3333,.5,.7835,.7273,.7536,.7795
219,"Blue_Dome_Santorini",.8,.7,.7,.7333,.725,.72,.25,.4375,.5,.6875,.75,.75,.381,.5385,.5833,.7097,.7373,.7347
220,"Fossar_de_les_Moreres",.6,.8,.55,.5333,.525,.5,.1429,.2857,.4286,.6429,.7143,.7857,.2308,.4211,.4818,.583,.6052,.6111
221,"Luxor_Obelisk_France",1.0,.9,.9,.8667,.85,.86,.25,.25,.5,.5,.5,.625,.4,.3913,.6429,.6341,.6296,.7239
222,"Valle_de_los_Caidos",1.0,1.0,.8,.7,.575,.66,.15,.2,.45,.55,.55,.75,.2609,.3333,.576,.616,.5622,.7021
--------------------
"--","Avg.",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
,,.7391,.7203,.7022,.6932,.6866,.6846,.1399,.2129,.3702,.4686,.546,.6128,.2309,.3204,.4751,.5489,.5983,.6346
