--------------------
"Run name","me15di_bmedclab_run2_multi.txt"
--------------------
"Average P@20 = ",.7021
"Average CR@20 = ",.3813
"Average F1@20 = ",.4748
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
223,"Comic_Con_USA",1.0,.9,.7,.7,.75,.76,.1429,.2143,.4286,.5,.6429,.7143,.25,.3462,.5316,.5833,.6923,.7364
224,"Storm_on_sea",.4,.7,.7,.6333,.575,.54,.1333,.1333,.3333,.4667,.6,.6,.2,.224,.4516,.5374,.5872,.5684
225,"Le_Tour_de_France",1.0,.8,.75,.8,.775,.78,.2143,.2857,.4286,.6429,.7143,.7857,.3529,.4211,.5455,.7129,.7434,.7828
226,"London_Marathon",1.0,1.0,1.0,.9667,.975,.98,.2222,.3333,.4444,.5556,.5556,.6667,.3636,.5,.6154,.7056,.7078,.7935
227,"Edinburgh_Festival_Fringe",.2,.1,.4,.3333,.35,.34,.0667,.0667,.2667,.2667,.3333,.3333,.1,.08,.32,.2963,.3415,.3366
228,"Venice_carnival",1.0,.9,.95,.9667,.975,.98,.2,.2,.3,.3,.3,.3,.3333,.3273,.456,.4579,.4588,.4594
229,"State_Fair_of_Texas",.8,.8,.5,.6,.675,.66,.1,.2,.25,.45,.5,.55,.1778,.32,.3333,.5143,.5745,.6
230,"St_Patricks_day_Ireland",1.0,1.0,.8,.7,.675,.74,.1765,.2941,.5294,.6471,.7059,.9412,.3,.4545,.6372,.6725,.6901,.8286
231,"Tropical_rain",.2,.1,.05,.0333,.025,.04,.2,.2,.2,.2,.2,.4,.2,.1333,.08,.0571,.0444,.0727
232,"Amsterdam_gay_parade",.8,.9,.8,.7,.7,.76,.2,.3333,.5333,.6,.7333,.8,.32,.4865,.64,.6462,.7163,.7795
233,"Cancun_beaches",.4,.5,.55,.5,.475,.46,.1538,.2308,.3846,.4615,.5385,.6154,.2222,.3158,.4527,.48,.5047,.5265
234,"Biennale_de_la_danse_de_Lyon",.8,.9,.7,.7333,.8,.84,.3,.3,.4,.6,.6,.6,.4364,.45,.5091,.66,.6857,.7
235,"Roland_Garros_Paris",.8,.8,.9,.9,.9,.86,.0667,.0667,.2667,.2667,.3333,.4,.1231,.1231,.4114,.4114,.4865,.546
236,"macys_thanksgiving_day_parade_new_york",1.0,1.0,.95,.9667,.925,.94,.2308,.3077,.4615,.4615,.6154,.6154,.375,.4706,.6213,.6248,.7391,.7438
237,"Sunset_Santorini",1.0,1.0,.95,.9333,.95,.96,.2308,.3846,.4615,.5385,.5385,.5385,.375,.5556,.6213,.6829,.6873,.6899
238,"Japan_cherry_blossom_festival",1.0,1.0,.95,.8,.825,.82,.1333,.2,.2667,.2667,.4,.4,.2353,.3333,.4164,.4,.5388,.5377
239,"Sapporo_Snow_Festival_Japan",1.0,.9,.9,.9,.9,.88,.1053,.1579,.2632,.3158,.3684,.4737,.1905,.2687,.4072,.4675,.5228,.6159
240,"Concerts_in_Bucharest",1.0,.9,.8,.8667,.875,.84,.2857,.2857,.5714,.5714,.7143,.7143,.4444,.4337,.6667,.6887,.7865,.7721
241,"marmots_in_the_mountains",.0,.2,.15,.1333,.1,.08,.0,.4,.6,.6,.6,.6,.0,.2667,.24,.2182,.1714,.1412
242,"Buckingham_guard_change",.8,.8,.85,.7,.65,.66,.0714,.2143,.4286,.5,.5,.5714,.1311,.338,.5698,.5833,.5652,.6125
243,"Sydney_New_Year_Eve_fireworks",1.0,.9,.95,.9333,.925,.9,.4,.5,.7,.7,.7,.7,.5714,.6429,.8061,.8,.7969,.7875
244,"animals_at_Zoo",1.0,1.0,1.0,.9667,.975,.98,.3333,.4444,.4444,.5556,.5556,.7778,.5,.6154,.6154,.7056,.7078,.8673
245,"Burning_man_festival_at_Black_Rock_Desert_Nevada",1.0,1.0,.9,.9333,.95,.94,.2353,.4118,.4706,.5294,.5882,.6471,.381,.5833,.618,.6756,.7266,.7665
246,"Aurora_Borealis_Norway",1.0,1.0,1.0,.9667,.975,.9,.2,.3,.5,.6,.7,.7,.3333,.4615,.6667,.7404,.8149,.7875
247,"reenactment_of_the_battle_of_Gettysburg",.8,.9,.9,.9333,.95,.96,.2105,.3158,.4737,.5789,.7895,.8421,.3333,.4675,.6207,.7146,.8623,.8972
248,"chinese_New_Year_Beijing",.4,.6,.5,.4,.475,.48,.0556,.2778,.3889,.5,.6111,.6667,.0976,.3797,.4375,.4444,.5345,.5581
249,"Pamplona_Bull_Run",.6,.5,.45,.4667,.45,.36,.25,.4167,.5833,.6667,.6667,.6667,.3529,.4545,.5081,.549,.5373,.4675
250,"Surfing_Miami",.8,.4,.45,.3333,.275,.32,.1875,.1875,.25,.3125,.3125,.3125,.3038,.2553,.3214,.3226,.2926,.3162
