--------------------
"Run name","me15di_bmedclab_run2_single.txt"
--------------------
"Average P@20 = ",.6435
"Average CR@20 = ",.3494
"Average F1@20 = ",.4379
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
192,"Torres_KIO",.8,.9,.85,.8667,.875,.88,.08,.12,.24,.36,.4,.52,.1455,.2118,.3743,.5087,.549,.6537
193,"Torre_Picasso",.6,.6,.65,.6667,.65,.68,.0833,.1667,.2917,.375,.5,.5833,.1463,.2609,.4027,.48,.5652,.628
194,"The_Palace_of_Parliament_in_Bucharest",1.0,1.0,.9,.9333,.95,.92,.12,.2,.28,.44,.52,.6,.2143,.3333,.4271,.5981,.6721,.7263
195,"Ernest_Hemingway_House",.8,.7,.65,.5667,.625,.62,.16,.2,.28,.32,.48,.56,.2667,.3111,.3914,.409,.543,.5885
196,"Castel_dellOvo_Napoli",1.0,1.0,.95,.8667,.825,.82,.16,.32,.4,.4,.56,.6,.2759,.4848,.563,.5474,.6671,.693
197,"Villa_Borghese_gardens",1.0,.9,.8,.7,.65,.66,.16,.28,.36,.4,.52,.6,.2759,.4271,.4966,.5091,.5778,.6286
198,"Saint_Marks_Basilica",1.0,.9,.9,.9333,.875,.88,.12,.24,.4,.56,.68,.68,.2143,.3789,.5538,.7,.7653,.7672
199,"Mausoleum_of_the_First_Qin_Emperor",.8,.9,.7,.8,.85,.88,.16,.24,.36,.52,.64,.68,.2667,.3789,.4755,.6303,.7302,.7672
200,"Mausoleum_of_Hadrian",.8,.8,.85,.7667,.8,.76,.1111,.1667,.2778,.3889,.6111,.6667,.1951,.2759,.4187,.516,.6929,.7103
201,"Piazza_de_Ferrari",.4,.5,.4,.5667,.65,.7,.1053,.2105,.3158,.6842,.6842,.6842,.1667,.2963,.3529,.6199,.6667,.692
202,"George_Washington_Carver",.8,.9,.55,.3667,.375,.36,.125,.25,.25,.25,.375,.5,.2162,.3913,.3438,.2973,.375,.4186
203,"Cathedral_of_Santiago_de_Compostela",.8,.8,.8,.7667,.7,.7,.1765,.2941,.4706,.5882,.5882,.5882,.2892,.4301,.5926,.6657,.6393,.6393
204,"Saint-Jacques_Tower",.6,.3,.35,.2333,.25,.2,.0769,.0769,.2308,.2308,.2308,.2308,.1364,.1224,.2781,.232,.24,.2143
205,"Calakmul_Campeche_Mexico",.2,.3,.2,.2333,.3,.3,.0714,.2143,.2857,.4286,.6429,.7143,.1053,.25,.2353,.3022,.4091,.4225
206,"Bran_Castle_in_Transylvania",1.0,.9,.95,.9667,.95,.96,.2105,.3158,.5263,.5789,.5789,.6316,.3478,.4675,.6774,.7242,.7194,.7619
207,"Mosteiro_da_Batalha",1.0,1.0,1.0,1.0,1.0,1.0,.1579,.3684,.5789,.6316,.6842,.6842,.2727,.5385,.7333,.7742,.8125,.8125
208,"Wartburg_Castle",1.0,1.0,.85,.8333,.85,.88,.1,.2,.3,.35,.5,.55,.1818,.3333,.4435,.493,.6296,.6769
209,"Fujian_Tulou_Fujian_China",.8,.8,.7,.7,.75,.78,.1667,.2222,.5,.6667,.7222,.7778,.2759,.3478,.5833,.6829,.7358,.7789
210,"Alabama_State_Capitol",1.0,.7,.6,.6667,.6,.52,.1429,.1429,.2381,.381,.4762,.5238,.25,.2373,.3409,.4848,.531,.5219
211,"Palazzo_dAccursio",1.0,.8,.9,.9333,.95,.96,.2778,.2778,.3889,.4444,.4444,.5,.4348,.4124,.5431,.6022,.6056,.6575
212,"Casa_Grande_Ruins",.0,.3,.55,.4667,.6,.68,.0,.1765,.4118,.4706,.7059,.7059,.0,.2222,.4709,.4686,.6486,.6927
213,"Stravinsky_Fountain",.8,.9,.95,.9,.825,.84,.2667,.4667,.6,.6667,.6667,.7333,.4,.6146,.7355,.766,.7374,.7831
214,"Angel_Falls_Venezuela",.8,.6,.65,.6333,.625,.6,.1176,.1765,.2941,.4118,.4118,.4706,.2051,.2727,.405,.4991,.4965,.5275
215,"Statue_of_George_IV",.2,.1,.2,.2333,.225,.2,.125,.125,.25,.375,.5,.5,.1538,.1111,.2222,.2877,.3103,.2857
216,"Palacio_Barolo",1.0,1.0,.95,.9333,.9,.92,.1765,.2353,.4706,.5294,.7059,.7059,.3,.381,.6294,.6756,.7912,.7988
217,"Bridge_of_Remembrance_Christchurch_New_Zealand",.0,.3,.25,.1667,.175,.14,.0,.25,.3333,.3333,.3333,.3333,.0,.2727,.2857,.2222,.2295,.1972
218,"John_A._Roebling_Suspension_Bridge",1.0,.5,.4,.5333,.65,.68,.2667,.2667,.3333,.4667,.6,.6667,.4211,.3478,.3636,.4978,.624,.6733
219,"Blue_Dome_Santorini",1.0,.9,.75,.7667,.8,.84,.3125,.375,.5625,.6875,.8125,.875,.4762,.5294,.6429,.7249,.8062,.8571
220,"Fossar_de_les_Moreres",.4,.4,.35,.2667,.225,.24,.0714,.2143,.4286,.5,.5,.5714,.1212,.2791,.3853,.3478,.3103,.338
221,"Luxor_Obelisk_France",.8,.8,.75,.7667,.775,.82,.25,.3125,.375,.5,.5625,.625,.381,.4494,.5,.6053,.6519,.7093
222,"Valle_de_los_Caidos",.2,.1,.45,.5,.5,.6,.05,.05,.35,.5,.5,.7,.08,.0667,.3937,.5,.5,.6462
--------------------
"--","Avg.",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
,,.6957,.6652,.6435,.6391,.6507,.6588,.1323,.2113,.3494,.4485,.5314,.5947,.2124,.3076,.4379,.5105,.5683,.6078
